Usual Hours Worked,Education (yrs),Yearly Earnings,Race,Sex,Usual Weekly Earnings,State,Month in Sample
50,18,86000,White,Female,.,Ohio,2
40,13,21000,White,Male,.,Ohio,2
45,12,22000,White,Female,.,Ohio,2
40,12,14000,White,Male,.,Ohio,6
50,12,32000,White,Male,.,Ohio,6
40,13,32000,White,Female,.,Ohio,6
35,10,51500,White,Male,.,Ohio,3
40,13,37000,Black,Female,.,Ohio,7
40,16,25000,White,Male,.,Ohio,7
55,16,18000,White,Male,.,Ohio,7
40,11.5,11000,Black,Female,.,Ohio,7
40,11,11000,White,Male,.,Ohio,7
40,13,36000,Black,Female,.,Ohio,6
40,16,17600,Black,Male,.,Ohio,6
40,13,21000,Black,Female,.,Ohio,6
47,16,47239,White,Male,.,Ohio,3
0,13,35000,White,Male,.,Ohio,3
60,18,306731,White,Male,.,Ohio,3
40,16,24000,White,Female,.,Ohio,3
40,11.5,13000,Black,Female,.,Ohio,3
40,13,62365,White,Male,.,Ohio,3
40,16,40000,White,Male,1115,Ohio,8
40,13,30000,White,Male,360,Ohio,8
40,16,16000,White,Male,.,Ohio,7
40,12,50000,White,Female,.,Ohio,6
40,14,27500,Black,Male,.,Ohio,1
42,13,40000,White,Male,.,Ohio,1
40,12,42000,White,Male,.,Ohio,6
0,12,35700,White,Male,.,Ohio,5
40,12,15600,White,Female,.,Ohio,5
40,16,20000,White,Female,.,Ohio,5
40,14,15433,White,Female,.,Ohio,5
0,13,12000,White,Female,.,Ohio,5
42,12,52000,White,Male,.,Ohio,5
40,16,47440,White,Female,.,Ohio,5
48,12,50913,White,Male,.,Ohio,7
40,12,33300,White,Female,.,Ohio,3
50,13,17000,White,Male,.,Ohio,3
45,16,85000,White,Male,.,Ohio,3
40,12,15000,White,Female,.,Ohio,3
40,13,28000,White,Male,.,Ohio,2
35,12,6000,White,Female,.,Ohio,2
55,13,28000,Black,Male,.,Ohio,5
40,12,25387,White,Female,.,Ohio,7
60,16,0,White,Male,.,Ohio,7
40,12,35000,White,Male,673,Ohio,4
40,13,45000,White,Male,917,Ohio,4
60,18,103000,White,Male,.,Ohio,2
50,14,30500,White,Male,.,Ohio,3
40,13,72000,White,Male,.,Ohio,6
40,18,18000,White,Female,.,Ohio,6
40,12,20500,White,Female,.,Ohio,3
40,13,40000,White,Male,.,Ohio,6
50,12,40000,White,Male,.,Ohio,6
40,12,30000,White,Female,.,Ohio,6
40,16,70000,White,Male,.,Ohio,6
40,13,20000,White,Female,673,Ohio,4
60,12,25800,White,Male,1078,Ohio,4
0,18,50000,White,Male,.,Ohio,7
60,14,149925,White,Male,.,Ohio,7
40,13,0,White,Male,.,Ohio,7
40,13,28000,White,Female,.,Ohio,7
45,13,55992,White,Male,.,Ohio,3
40,18,75000,White,Male,.,Ohio,3
40,16,14000,White,Female,.,Ohio,5
49,14,45100,White,Male,.,Ohio,5
50,16,47000,White,Female,.,Ohio,5
35,11.5,9440,White,Male,.,Ohio,3
40,16,42000,White,Male,.,Ohio,7
60,16,47000,White,Male,.,Ohio,3
40,13,27000,White,Male,519,Ohio,8
40,16,30000,White,Male,577,Ohio,8
40,14,60000,Black,Male,1154,Ohio,8
50,16,54000,White,Male,800,Ohio,8
40,12,48000,White,Female,530,Ohio,8
40,11.5,28905,Black,Male,.,Ohio,2
40,16,30000,White,Male,.,Ohio,2
40,16,30000,White,Female,.,Ohio,2
50,12,21500,White,Male,.,Ohio,2
40,16,30000,White,Male,.,Ohio,2
40,12,4480,White,Male,.,Ohio,2
40,12,52000,White,Male,.,Ohio,2
37,13,65000,White,Female,.,Ohio,2
40,12,0,White,Male,.,Ohio,2
60,16,35000,White,Female,.,Ohio,2
35,13,0,White,Male,.,Ohio,3
0,12,0,White,Male,.,Ohio,1
40,12,36615,White,Male,.,Ohio,1
40,12,50000,White,Male,.,Ohio,7
40,13,29000,IndEsk,Female,.,Ohio,1
55,12,20000,White,Male,.,Ohio,1
40,12,14000,White,Female,.,Ohio,1
40,12,3000,White,Male,.,Ohio,1
50,13,42000,White,Male,.,Ohio,3
40,12,40000,White,Female,.,Ohio,3
60,18,306731,AsianPI,Male,.,Ohio,3
60,16,75000,White,Male,.,Ohio,1
50,12,31000,White,Male,730,Ohio,4
38,12,24000,White,Male,255,Ohio,4
45,12,17000,White,Female,.,Ohio,6
40,14,55000,White,Male,.,Ohio,1
40,16,43000,White,Female,808,Ohio,4
40,13,40000,White,Female,.,Ohio,1
35,13,14000,White,Female,.,Ohio,5
0,16,45000,White,Male,.,Ohio,5
40,16,16476,White,Female,.,Ohio,3
40,13,13520,Black,Female,.,Ohio,3
40,12,15600,White,Male,.,Ohio,6
38,9,11000,White,Female,.,Ohio,6
40,16,30000,White,Female,.,Ohio,5
40,12,18200,Black,Male,760,Ohio,8
40,10,2500,White,Female,300,Ohio,8
40,12,27372,White,Female,.,Ohio,5
